"term","frequency","density","occurrence"
"explosion",4,5.7509273370331e-05,0.008
"explosives",2,2.87546366851655e-05,0.002
"federal",24,0.000345055640221986,0.024
"forces",16,0.000230037093481324,0.022
"front",10,0.000143773183425827,0.02
"got",82,0.00117894010409178,0.13
"government",51,0.00073324323547172,0.046
"half",40,0.00057509273370331,0.068
"headquarters",7,0.000100641228398079,0.006
"held",7,0.000100641228398079,0.014
"hotel",8,0.000115018546740662,0.014
"hours",20,0.000287546366851655,0.04
"immediately",19,0.000273169048509072,0.03
"interfax",2,2.87546366851655e-05,0.002
"itartass",2,2.87546366851655e-05,0.002
"kremlin",1,1.43773183425827e-05,0.002
"later",24,0.000345055640221986,0.042
"location",9,0.000129395865083245,0.016
"man",75,0.00107829887569371,0.092
"moscow",5,7.18865917129137e-05,0.004
"moscows",1,1.43773183425827e-05,0.002
"moskvy",1,1.43773183425827e-05,0.002
"move",25,0.000359432958564569,0.048
"near",16,0.000230037093481324,0.032
"negotiations",2,2.87546366851655e-05,0.002
"news",51,0.00073324323547172,0.072
"ntv",2,2.87546366851655e-05,0.002
"officers",9,0.000129395865083245,0.012
"officials",16,0.000230037093481324,0.03
"olympic",1,1.43773183425827e-05,0.002
"outside",15,0.000215659775138741,0.026
"penta",1,1.43773183425827e-05,0.002
"police",21,0.000301923685194238,0.024
"president",32,0.000460074186962648,0.034
"press",27,0.000388187595249734,0.04
"putin",1,1.43773183425827e-05,0.002
"radio",10,0.000143773183425827,0.012
"red",48,0.000690111280443972,0.054
"reported",17,0.000244414411823907,0.02
"rifle",1,1.43773183425827e-05,0.002
"rushed",1,1.43773183425827e-05,0.002
"russian",10,0.000143773183425827,0.004
"russias",1,1.43773183425827e-05,0.002
"said",285,0.00409753572763608,0.184
"secure",8,0.000115018546740662,0.014
"security",51,0.00073324323547172,0.03
"seized",5,7.18865917129137e-05,0.008
"service",58,0.000833884463869799,0.078
"services",34,0.000488828823647813,0.042
"square",3,4.31319550277482e-05,0.006
"street",24,0.000345055640221986,0.038
"surrounded",1,1.43773183425827e-05,0.002
"taken",24,0.000345055640221986,0.044
"talk",24,0.000345055640221986,0.032
"talks",8,0.000115018546740662,0.01
"television",13,0.000186905138453576,0.016
"threatened",1,1.43773183425827e-05,0.002
"threatens",3,4.31319550277482e-05,0.004
"thursday",20,0.000287546366851655,0.038
"tons",3,4.31319550277482e-05,0.006
"truck",7,0.000100641228398079,0.006
"unidentified",1,1.43773183425827e-05,0.002
"vladimir",2,2.87546366851655e-05,0.004
"wanted",33,0.00047445150530523,0.052
"within",27,0.000388187595249734,0.04
"witnesses",3,4.31319550277482e-05,0.006
"across",22,0.00031630100353682,0.044
"already",49,0.000704488598786554,0.082
"andrew",4,5.7509273370331e-05,0.008
"antivirus",1,1.43773183425827e-05,0.002
"approaches",1,1.43773183425827e-05,0.002
"approaching",1,1.43773183425827e-05,0.002
"arent",19,0.000273169048509072,0.038
"brandt",1,1.43773183425827e-05,0.002
"british",34,0.000488828823647813,0.028
"can",348,0.00500330678321879,0.368
"carry",8,0.000115018546740662,0.016
"combination",3,4.31319550277482e-05,0.006
"continues",6,8.62639100554965e-05,0.01
"corrupt",5,7.18865917129137e-05,0.01
"daily",13,0.000186905138453576,0.018
"data",32,0.000460074186962648,0.048
"die",6,8.62639100554965e-05,0.01
"estimates",2,2.87546366851655e-05,0.004
"ever",46,0.000661356643758806,0.074
"experts",9,0.000129395865083245,0.018
"firm",9,0.000129395865083245,0.012
"harbinger",1,1.43773183425827e-05,0.002
"havoc",2,2.87546366851655e-05,0.004
"holds",5,7.18865917129137e-05,0.01
"httptbtfmailmanlistinfoirregulars",1,1.43773183425827e-05,0.002
"httpwwwpcworldcomnewsarticleaidasp",2,2.87546366851655e-05,0.004
"infections",1,1.43773183425827e-05,0.002
"irregulars",1,1.43773183425827e-05,0.002
"irregularstbtf",1,1.43773183425827e-05,0.002
"klez",8,0.000115018546740662,0.004
"last",95,0.00136584524254536,0.126
"letup",1,1.43773183425827e-05,0.002
"magazine",1,1.43773183425827e-05,0.002
"makers",7,0.000100641228398079,0.012
"making",35,0.000503206141990396,0.06
"may",97,0.00139459987923053,0.126
"mcafee",1,1.43773183425827e-05,0.002
"merely",7,0.000100641228398079,0.014
"messagelabs",1,1.43773183425827e-05,0.002
"messages",40,0.00057509273370331,0.048
"month",23,0.000330678321879403,0.04
"new",185,0.00265980389337781,0.212
"newer",4,5.7509273370331e-05,0.008
"nuisancesthey",1,1.43773183425827e-05,0.002
"pernicious",2,2.87546366851655e-05,0.004
"persistent",2,2.87546366851655e-05,0.004
"prolific",2,2.87546366851655e-05,0.002
"report",29,0.0004169422319349,0.028
"says",64,0.000920148373925295,0.058
"september",52,0.000747620553814303,0.078
"seventh",1,1.43773183425827e-05,0.002
"sign",12,0.000172527820110993,0.022
"sircam",1,1.43773183425827e-05,0.002
"software",77,0.00110705351237887,0.088
"summers",2,2.87546366851655e-05,0.004
"surpassed",1,1.43773183425827e-05,0.002
"symantec",2,2.87546366851655e-05,0.004
"variants",1,1.43773183425827e-05,0.002
"variation",2,2.87546366851655e-05,0.004
"virus",5,7.18865917129137e-05,0.004
"viruses",7,0.000100641228398079,0.01
"warn",1,1.43773183425827e-05,0.002
"web",61,0.000877016418897547,0.066
"wont",31,0.000445696868620065,0.05
"world",117,0.00168214624608218,0.13
"worm",1,1.43773183425827e-05,0.002
"wreak",1,1.43773183425827e-05,0.002
"wriggling",1,1.43773183425827e-05,0.002
"adding",6,8.62639100554965e-05,0.012
"ask",20,0.000287546366851655,0.038
"authentic",1,1.43773183425827e-05,0.002
"carbonara",4,5.7509273370331e-05,0.004
"centre",9,0.000129395865083245,0.018
"cream",7,0.000100641228398079,0.01
"creme",2,2.87546366851655e-05,0.002
"deeppie",1,1.43773183425827e-05,0.002
"edinburgh",8,0.000115018546740662,0.016
"effect",11,0.00015815050176841,0.014
"eggs",2,2.87546366851655e-05,0.004
"except",26,0.000373810276907151,0.05
"fat",8,0.000115018546740662,0.014
"favourites",2,2.87546366851655e-05,0.004
"fraiche",2,2.87546366851655e-05,0.002
"fresh",4,5.7509273370331e-05,0.008
"hasnt",18,0.000258791730166489,0.028
"hell",22,0.00031630100353682,0.04
"httpwwweeedacuksxs",5,7.18865917129137e-05,0.01
"identical",9,0.000129395865083245,0.018
"instead",57,0.000819507145527216,0.104
"ive",114,0.00163901429105443,0.164
"jump",9,0.000129395865083245,0.018
"just",273,0.00392500790752509,0.326
"lots",15,0.000215659775138741,0.026
"low",15,0.000215659775138741,0.026
"make",129,0.00185467406619317,0.154
"microelectronics",5,7.18865917129137e-05,0.01
"mine",6,8.62639100554965e-05,0.012
"never",66,0.000948903010610461,0.098
"nicely",2,2.87546366851655e-05,0.004
"parmesan",1,1.43773183425827e-05,0.002
"pasta",5,7.18865917129137e-05,0.006
"personally",11,0.00015815050176841,0.022
"pizza",1,1.43773183425827e-05,0.002
"quite",38,0.000546338097018144,0.064
"recipe",5,7.18865917129137e-05,0.008
"scottish",8,0.000115018546740662,0.014
"seen",34,0.000488828823647813,0.064
"smith",7,0.000100641228398079,0.014
"spaghetti",2,2.87546366851655e-05,0.004
"stew",6,8.62639100554965e-05,0.012
"stewart",6,8.62639100554965e-05,0.01
"supposed",23,0.000330678321879403,0.036
"supposedly",5,7.18865917129137e-05,0.008
"university",35,0.000503206141990396,0.044
"used",78,0.00112143083072145,0.12
"bacon",2,2.87546366851655e-05,0.004
"basically",12,0.000172527820110993,0.022
"beaten",5,7.18865917129137e-05,0.008
"cooked",2,2.87546366851655e-05,0.004
"cooks",7,0.000100641228398079,0.014
"egg",6,8.62639100554965e-05,0.004
"heat",2,2.87546366851655e-05,0.004
"isnt",60,0.000862639100554965,0.1
"mix",4,5.7509273370331e-05,0.008
"mixture",2,2.87546366851655e-05,0.004
"pancetta",2,2.87546366851655e-05,0.004
"raw",7,0.000100641228398079,0.014
"really",101,0.00145210915260086,0.162
"understanding",7,0.000100641228398079,0.014
"age",15,0.000215659775138741,0.03
"ageing",1,1.43773183425827e-05,0.002
"applications",24,0.000345055640221986,0.04
"arms",2,2.87546366851655e-05,0.004
"attack",12,0.000172527820110993,0.014
"attractive",7,0.000100641228398079,0.01
"bang",3,4.31319550277482e-05,0.004
"beautiful",4,5.7509273370331e-05,0.006
"bed",11,0.00015815050176841,0.022
"berlin",4,5.7509273370331e-05,0.006
"better",70,0.00100641228398079,0.106
"bild",1,1.43773183425827e-05,0.002
"come",77,0.00110705351237887,0.12
"countless",3,4.31319550277482e-05,0.006
"disco",1,1.43773183425827e-05,0.002
"eden",3,4.31319550277482e-05,0.002
"end",66,0.000948903010610461,0.098
"famous",11,0.00015815050176841,0.016
"final",5,7.18865917129137e-05,0.01
"first",115,0.00165339160939702,0.148
"fun",15,0.000215659775138741,0.024
"gets",35,0.000503206141990396,0.054
"gone",11,0.00015815050176841,0.02
"heart",8,0.000115018546740662,0.014
"imagine",9,0.000129395865083245,0.018
"inheritance",1,1.43773183425827e-05,0.002
"im",2,2.87546366851655e-05,0.004
"life",44,0.000632602007073641,0.052
"lot",38,0.000546338097018144,0.068
"lure",2,2.87546366851655e-05,0.004
"moment",7,0.000100641228398079,0.014
"money",53,0.000761997872156885,0.062
"newspaper",10,0.000143773183425827,0.018
"nightclub",1,1.43773183425827e-05,0.002
"offer",28,0.000402564913592317,0.032
"orgasm",2,2.87546366851655e-05,0.004
"owner",4,5.7509273370331e-05,0.008
"partners",19,0.000273169048509072,0.018
"pass",9,0.000129395865083245,0.01
"playboy",2,2.87546366851655e-05,0.002
"preferably",2,2.87546366851655e-05,0.004
"promising",2,2.87546366851655e-05,0.004
"put",72,0.00103516692066596,0.112
"quickly",18,0.000258791730166489,0.032
"rolf",1,1.43773183425827e-05,0.002
"scotsman",2,2.87546366851655e-05,0.004
"selling",29,0.0004169422319349,0.05
"sent",77,0.00110705351237887,0.132
"sex",28,0.000402564913592317,0.032
"sleeps",2,2.87546366851655e-05,0.002
"soon",33,0.00047445150530523,0.06
"testament",2,2.87546366851655e-05,0.004
"told",37,0.000531960778675561,0.056
"unusual",7,0.000100641228398079,0.014
"want",136,0.00195531529459125,0.188
"wants",34,0.000488828823647813,0.046
"way",172,0.00247289875492423,0.222
"wild",6,8.62639100554965e-05,0.01
"will",318,0.00457198723294131,0.254
"woman",32,0.000460074186962648,0.038
"women",76,0.00109267619403629,0.046
"year",64,0.000920148373925295,0.084
"young",15,0.000215659775138741,0.026
"adamson",3,4.31319550277482e-05,0.006
"added",22,0.00031630100353682,0.036
"apologies",5,7.18865917129137e-05,0.01
"congressman",1,1.43773183425827e-05,0.002
"found",80,0.00115018546740662,0.116
"guess",17,0.000244414411823907,0.034
"hes",34,0.000488828823647813,0.04
"httpwwwvirtualcitiescomonsmegovmegvjbhtm",1,1.43773183425827e-05,0.002
"internet",78,0.00112143083072145,0.082
"lists",13,0.000186905138453576,0.024
"looking",50,0.000718865917129137,0.066
"maine",2,2.87546366851655e-05,0.004
"mines",1,1.43773183425827e-05,0.002
"nonsmiles",1,1.43773183425827e-05,0.002
"people",235,0.00337866981050694,0.19
"pic",2,2.87546366851655e-05,0.004
"possibly",4,5.7509273370331e-05,0.008
"probably",55,0.000790752508842051,0.092
"residents",6,8.62639100554965e-05,0.012
"right",98,0.00140897719757311,0.142
"scariest",1,1.43773183425827e-05,0.002
"try",59,0.000848261782212382,0.1
"voted",1,1.43773183425827e-05,0.002
"worst",7,0.000100641228398079,0.014
"wrote",237,0.00340742444719211,0.378
"youre",54,0.000776375190499468,0.096
"youve",11,0.00015815050176841,0.022
"account",17,0.000244414411823907,0.024
"aimed",4,5.7509273370331e-05,0.006
"also",156,0.00224286166144291,0.196
"anyone",84,0.00120769474077695,0.154
"archer",1,1.43773183425827e-05,0.002
"arse",2,2.87546366851655e-05,0.004
"art",8,0.000115018546740662,0.01
"artist",2,2.87546366851655e-05,0.004
"artistic",1,1.43773183425827e-05,0.002
"artistically",1,1.43773183425827e-05,0.002
"attacking",2,2.87546366851655e-05,0.004
"attended",6,8.62639100554965e-05,0.012
"autobiography",2,2.87546366851655e-05,0.002
"awardwinning",1,1.43773183425827e-05,0.002
"babs",1,1.43773183425827e-05,0.002
"backside",1,1.43773183425827e-05,0.002
"bad",24,0.000345055640221986,0.04
"bare",1,1.43773183425827e-05,0.002
"barlinnie",2,2.87546366851655e-05,0.002
"bars",8,0.000115018546740662,0.014
"bastards",4,5.7509273370331e-05,0.008
"bears",2,2.87546366851655e-05,0.004
"become",24,0.000345055640221986,0.036
"believes",7,0.000100641228398079,0.01
"bent",3,4.31319550277482e-05,0.006
"big",63,0.000905771055582713,0.062
"birdman",1,1.43773183425827e-05,0.002
"body",10,0.000143773183425827,0.016
"bollocks",1,1.43773183425827e-05,0.002
"book",21,0.000301923685194238,0.026
"books",15,0.000215659775138741,0.024
"bookstores",2,2.87546366851655e-05,0.004
"born",11,0.00015815050176841,0.016
"boyle",4,5.7509273370331e-05,0.002
"bronson",10,0.000143773183425827,0.002
"bronsons",2,2.87546366851655e-05,0.002
"call",29,0.0004169422319349,0.05
"cant",1,1.43773183425827e-05,0.002
"cell",14,0.000201282456796158,0.028
"chance",14,0.000201282456796158,0.022
"changed",13,0.000186905138453576,0.022
"charles",5,7.18865917129137e-05,0.008
"choice",12,0.000172527820110993,0.022
"churned",1,1.43773183425827e-05,0.002
"coffee",2,2.87546366851655e-05,0.004
"cold",6,8.62639100554965e-05,0.01
"collins",2,2.87546366851655e-05,0.002
"con",9,0.000129395865083245,0.008
"confinement",1,1.43773183425827e-05,0.002
"continuing",3,4.31319550277482e-05,0.006
"contribute",4,5.7509273370331e-05,0.006
"convicted",4,5.7509273370331e-05,0.004
"cost",15,0.000215659775138741,0.028
"crap",12,0.000172527820110993,0.024
"creative",19,0.000273169048509072,0.028
"criminal",18,0.000258791730166489,0.012
"criminals",5,7.18865917129137e-05,0.008
"critical",4,5.7509273370331e-05,0.006
"culture",10,0.000143773183425827,0.02
"current",24,0.000345055640221986,0.042
"dangerous",7,0.000100641228398079,0.012
"days",36,0.000517583460332979,0.05
"deal",28,0.000402564913592317,0.032
"death",14,0.000201282456796158,0.024
"deeper",3,4.31319550277482e-05,0.004
"described",10,0.000143773183425827,0.016
"designer",2,2.87546366851655e-05,0.004
"destructive",1,1.43773183425827e-05,0.002
"developed",18,0.000258791730166489,0.028
"diet",1,1.43773183425827e-05,0.002
"diets",1,1.43773183425827e-05,0.002
"discover",7,0.000100641228398079,0.01
"discovered",15,0.000215659775138741,0.026
"doesnt",1,1.43773183425827e-05,0.002
"doors",6,8.62639100554965e-05,0.012
"doubt",15,0.000215659775138741,0.028
"drawings",1,1.43773183425827e-05,0.002
"dream",6,8.62639100554965e-05,0.012
"drinks",3,4.31319550277482e-05,0.006
"early",18,0.000258791730166489,0.028
"earning",1,1.43773183425827e-05,0.002
"education",3,4.31319550277482e-05,0.006
"eight",3,4.31319550277482e-05,0.006
"emotions",2,2.87546366851655e-05,0.004
"environment",9,0.000129395865083245,0.018
"essence",3,4.31319550277482e-05,0.004
"examine",3,4.31319550277482e-05,0.006
"excuses",4,5.7509273370331e-05,0.008
"exercise",4,5.7509273370331e-05,0.006
"expensive",8,0.000115018546740662,0.016
"explains",2,2.87546366851655e-05,0.004
"explore",2,2.87546366851655e-05,0.004
"express",1,1.43773183425827e-05,0.002
"extra",11,0.00015815050176841,0.022
"fabulously",1,1.43773183425827e-05,0.002
"face",14,0.000201282456796158,0.026
"fact",47,0.000675733962101389,0.076
"feeling",3,4.31319550277482e-05,0.006
"feet",12,0.000172527820110993,0.012
"fierce",1,1.43773183425827e-05,0.002
"figures",4,5.7509273370331e-05,0.006
"film",8,0.000115018546740662,0.014
"films",1,1.43773183425827e-05,0.002
"fists",1,1.43773183425827e-05,0.002
"fit",5,7.18865917129137e-05,0.01
"fitness",7,0.000100641228398079,0.002
"five",15,0.000215659775138741,0.022
"focus",7,0.000100641228398079,0.012
"fortune",5,7.18865917129137e-05,0.008
"four",14,0.000201282456796158,0.024
"frank",2,2.87546366851655e-05,0.004
"freedom",6,8.62639100554965e-05,0.01
"give",67,0.000963280328953044,0.112
"glasgow",1,1.43773183425827e-05,0.002
"glasgows",1,1.43773183425827e-05,0.002
"good",112,0.00161025965436927,0.16
"gordon",10,0.000143773183425827,0.018
"grub",2,2.87546366851655e-05,0.004
"guide",3,4.31319550277482e-05,0.006
"gurus",1,1.43773183425827e-05,0.002
"gym",1,1.43773183425827e-05,0.002
"hands",8,0.000115018546740662,0.016
"hard",24,0.000345055640221986,0.044
"health",19,0.000273169048509072,0.016
"hearing",8,0.000115018546740662,0.014
"help",52,0.000747620553814303,0.082
"hero",1,1.43773183425827e-05,0.002
"highprotein",1,1.43773183425827e-05,0.002
"history",12,0.000172527820110993,0.02
"holding",3,4.31319550277482e-05,0.006
"hollywood",2,2.87546366851655e-05,0.004
"honest",7,0.000100641228398079,0.012
"hostage",2,2.87546366851655e-05,0.002
"however",53,0.000761997872156885,0.072
"hugh",1,1.43773183425827e-05,0.002
"inches",8,0.000115018546740662,0.006
"industry",33,0.00047445150530523,0.032
"inmates",2,2.87546366851655e-05,0.002
"inside",10,0.000143773183425827,0.018
"interest",17,0.000244414411823907,0.02
"its",3,4.31319550277482e-05,0.002
"jail",5,7.18865917129137e-05,0.006
"jailed",6,8.62639100554965e-05,0.008
"jimmy",3,4.31319550277482e-05,0.004
"joke",10,0.000143773183425827,0.016
"judge",5,7.18865917129137e-05,0.01
"judging",1,1.43773183425827e-05,0.002
"kick",5,7.18865917129137e-05,0.01
"known",37,0.000531960778675561,0.054
"land",18,0.000258791730166489,0.026
"laugh",3,4.31319550277482e-05,0.006
"lawson",1,1.43773183425827e-05,0.002
"lazy",2,2.87546366851655e-05,0.004
"lbs",1,1.43773183425827e-05,0.002
"lean",1,1.43773183425827e-05,0.002
"learned",4,5.7509273370331e-05,0.006
"legendary",2,2.87546366851655e-05,0.004
"light",6,8.62639100554965e-05,0.012
"living",11,0.00015815050176841,0.016
"load",23,0.000330678321879403,0.022
"logical",5,7.18865917129137e-05,0.01
"look",59,0.000848261782212382,0.098
"lord",4,5.7509273370331e-05,0.008
"machine",29,0.0004169422319349,0.044
"macmillan",1,1.43773183425827e-05,0.002
"made",66,0.000948903010610461,0.078
"mag",1,1.43773183425827e-05,0.002
"mainly",10,0.000143773183425827,0.02
"majestys",1,1.43773183425827e-05,0.002
"mantras",1,1.43773183425827e-05,0.002
"many",137,0.00196969261293384,0.174
"mean",31,0.000445696868620065,0.048
"meaningful",6,8.62639100554965e-05,0.012
"memberships",1,1.43773183425827e-05,0.002
"men",64,0.000920148373925295,0.054
"metal",4,5.7509273370331e-05,0.008
"michael",19,0.000273169048509072,0.018
"might",96,0.00138022256088794,0.136
"million",39,0.000560715415360727,0.032
"millions",10,0.000143773183425827,0.016
"mind",18,0.000258791730166489,0.026
"mirage",1,1.43773183425827e-05,0.002
"mooney",1,1.43773183425827e-05,0.002
"motivate",1,1.43773183425827e-05,0.002
"motivational",1,1.43773183425827e-05,0.002
"moved",19,0.000273169048509072,0.028
"movie",4,5.7509273370331e-05,0.008
"multimillionpound",1,1.43773183425827e-05,0.002
"murder",16,0.000230037093481324,0.01
"murderer",2,2.87546366851655e-05,0.004
"muscle",2,2.87546366851655e-05,0.004
"myths",1,1.43773183425827e-05,0.002
"name",29,0.0004169422319349,0.05
"nearly",13,0.000186905138453576,0.018
"needed",18,0.000258791730166489,0.024
"novel",3,4.31319550277482e-05,0.004
"novelist",2,2.87546366851655e-05,0.004
"nows",1,1.43773183425827e-05,0.002
"obsession",1,1.43773183425827e-05,0.002
"october",39,0.000560715415360727,0.056
"offered",6,8.62639100554965e-05,0.01
"opening",4,5.7509273370331e-05,0.008
"opens",3,4.31319550277482e-05,0.006
"original",72,0.00103516692066596,0.126
"originally",6,8.62639100554965e-05,0.012
"paragraph",1,1.43773183425827e-05,0.002
"pasts",1,1.43773183425827e-05,0.002
"penned",2,2.87546366851655e-05,0.004
"peterson",5,7.18865917129137e-05,0.004
"phenomenon",4,5.7509273370331e-05,0.008
"pills",2,2.87546366851655e-05,0.004
"pleasure",1,1.43773183425827e-05,0.002
"poems",1,1.43773183425827e-05,0.002
"point",66,0.000948903010610461,0.094
"power",48,0.000690111280443972,0.052
"powerfully",1,1.43773183425827e-05,0.002
"pragmatic",2,2.87546366851655e-05,0.004
"praise",1,1.43773183425827e-05,0.002
"pressups",1,1.43773183425827e-05,0.002
"prison",17,0.000244414411823907,0.01
"prisoner",1,1.43773183425827e-05,0.002
"prisons",1,1.43773183425827e-05,0.002
"profound",2,2.87546366851655e-05,0.004
"promise",7,0.000100641228398079,0.012
