"term","frequency","density","occurrence"
"val",2,1.44532689681089e-05,0.004
"valigndtop",39,0.000281838744878123,0.038
"wcdtd",33,0.000238478937973796,0.066
"widthd",1523,0.0110061643192149,0.174
"widthdbfont",38,0.000274612110394068,0.022
"will",828,0.00598365335279707,0.422
"wish",195,0.00140919372439061,0.278
"youll",66,0.000476957875947592,0.088
"ype",1,7.22663448405443e-06,0.002
"advice",23,0.000166212593133252,0.04
"album",8,5.78130758724354e-05,0.016
"cancer",16,0.000115626151744871,0.028
"child",18,0.00013007942071298,0.032
"community",22,0.000158985958649197,0.03
"day",165,0.00119239468986898,0.138
"days",109,0.000787703158761933,0.124
"deserve",12,8.67196138086532e-05,0.024
"fastest",24,0.000173439227617306,0.044
"fight",10,7.22663448405443e-05,0.02
"group",67,0.000484184510431647,0.11
"growing",32,0.000231252303489742,0.05
"guaranteed",65,0.000469731241463538,0.092
"httpwwwadclickwspcfmospk",56,0.000404691531107048,0.026
"httpwwwlinuxiemailmanlistinfoilug",34,0.000245705572457851,0.068
"httpwwwqvescomtrimiluglinuxiecc",3,2.16799034521633e-05,0.006
"iluglinuxie",35,0.000252932206941905,0.068
"information",311,0.00224748332454093,0.366
"irish",51,0.000368558358686776,0.1
"join",32,0.000231252303489742,0.054
"lbs",26,0.000187892496585415,0.032
"leave",17,0.000122852786228925,0.032
"legal",95,0.000686530275985171,0.124
"link",125,0.000903329310506804,0.184
"linux",50,0.000361331724202722,0.1
"listmasterlinuxie",49,0.000354105089718667,0.098
"lose",48,0.000346878455234613,0.064
"maintainer",49,0.000354105089718667,0.098
"manager",28,0.000202345765553524,0.05
"offer",166,0.00119962132435304,0.186
"online",113,0.000816609696698151,0.148
"photo",8,5.78130758724354e-05,0.016
"private",71,0.000513091048367865,0.108
"prizemama",13,9.39462482927076e-05,0.022
"risk",81,0.000585357393208409,0.106
"singles",8,5.78130758724354e-05,0.016
"slim",12,8.67196138086532e-05,0.024
"start",107,0.000773249889793824,0.094
"support",52,0.00037578499317083,0.074
"unsubscription",49,0.000354105089718667,0.098
"use",154,0.00111290171054438,0.178
"users",69,0.000498637779399756,0.12
"webs",12,8.67196138086532e-05,0.02
"wonderful",19,0.000137306055197034,0.034
"httpwwwqvescomtrimzzzzspamassassintaintorgcc",7,5.0586441388381e-05,0.014
"absolutely",61,0.00044082470352732,0.082
"account",98,0.000708210179437334,0.082
"adult",41,0.000296292013846232,0.028
"adults",6,4.33598069043266e-05,0.01
"advertisement",26,0.000187892496585415,0.04
"advertisers",16,0.000115626151744871,0.02
"affiliated",12,8.67196138086532e-05,0.024
"age",70,0.00050586441388381,0.054
"allow",55,0.000397464896622994,0.104
"animals",8,5.78130758724354e-05,0.014
"asian",3,2.16799034521633e-05,0.006
"become",48,0.000346878455234613,0.056
"believe",62,0.000448051338011375,0.074
"boyffriend",3,2.16799034521633e-05,0.006
"cams",7,5.0586441388381e-05,0.014
"camsfree",4,2.89065379362177e-05,0.008
"celebes",8,5.78130758724354e-05,0.008
"cent",7,5.0586441388381e-05,0.014
"charge",28,0.000202345765553524,0.048
"club",13,9.39462482927076e-05,0.02
"conditions",14,0.000101172882776762,0.018
"database",37,0.000267385475910014,0.06
"dollar",12,8.67196138086532e-05,0.022
"dont",209,0.00151036660716738,0.194
"emails",212,0.00153204651061954,0.126
"entertained",6,4.33598069043266e-05,0.012
"fantasies",4,2.89065379362177e-05,0.008
"faq",6,4.33598069043266e-05,0.012
"farm",14,0.000101172882776762,0.016
"feeds",4,2.89065379362177e-05,0.008
"fill",103,0.000744343351857606,0.15
"following",106,0.00076602325530977,0.128
"freaky",4,2.89065379362177e-05,0.008
"freakyfree",5,3.61331724202722e-05,0.008
"friends",25,0.000180665862101361,0.046
"getting",24,0.000173439227617306,0.034
"girls",21,0.000151759324165143,0.024
"give",84,0.000607037296660572,0.116
"hours",92,0.000664850372533008,0.13
"house",16,0.000115626151744871,0.03
"httpasianaid",1,7.22663448405443e-06,0.002
"httpcelebstaid",3,2.16799034521633e-05,0.006
"httpfarmaid",3,2.16799034521633e-05,0.006
"httplesbianaid",3,2.16799034521633e-05,0.006
"httpmegaaid",1,7.22663448405443e-06,0.002
"httpoptout",1,7.22663448405443e-06,0.002
"info",54,0.000390238262138939,0.06
"instant",28,0.000202345765553524,0.044
"instructions",69,0.000498637779399756,0.07
"internet",198,0.00143087362784278,0.146
"itfree",4,2.89065379362177e-05,0.008
"japanese",5,3.61331724202722e-05,0.008
"jennifer",8,5.78130758724354e-05,0.016
"joe",6,4.33598069043266e-05,0.012
"just",284,0.00205236419347146,0.234
"lace",4,2.89065379362177e-05,0.008
"last",69,0.000498637779399756,0.092
"lesbian",4,2.89065379362177e-05,0.008
"lifetime",57,0.000411918165591103,0.026
"links",17,0.000122852786228925,0.03
"live",61,0.00044082470352732,0.06
"long",53,0.000383011627654885,0.084
"manhattan",6,4.33598069043266e-05,0.012
"may",187,0.00135138064851818,0.212
"member",48,0.000346878455234613,0.08
"members",37,0.000267385475910014,0.048
"membership",78,0.000563677489756246,0.022
"miami",6,4.33598069043266e-05,0.012
"million",173,0.00125020776574142,0.16
"month",88,0.00063594383459679,0.102
"morgan",6,4.33598069043266e-05,0.012
"multi",3,2.16799034521633e-05,0.006
"name",283,0.0020451375589874,0.206
"net",53,0.000383011627654885,0.046
"never",90,0.000650397103564899,0.124
"news",77,0.000556450855272191,0.068
"now",272,0.00196564457966281,0.3
"offering",18,0.00013007942071298,0.03
"offers",106,0.00076602325530977,0.13
"one",360,0.0026015884142596,0.32
"operations",5,3.61331724202722e-05,0.008
"opted",19,0.000137306055197034,0.038
"optout",15,0.000108399517260816,0.028
"part",56,0.000404691531107048,0.062
"pass",13,9.39462482927076e-05,0.026
"password",15,0.000108399517260816,0.016
"pay",110,0.000794929793245987,0.142
"play",16,0.000115626151744871,0.024
"policies",16,0.000115626151744871,0.018
"porn",13,9.39462482927076e-05,0.014
"read",65,0.000469731241463538,0.062
"receive",324,0.00234142957283364,0.294
"received",134,0.000968369020863294,0.106
"removal",71,0.000513091048367865,0.1
"required",65,0.000469731241463538,0.11
"rules",6,4.33598069043266e-05,0.01
"schoolgirls",4,2.89065379362177e-05,0.008
"sex",26,0.000187892496585415,0.02
"sexy",8,5.78130758724354e-05,0.016
"shows",18,0.00013007942071298,0.024
"sign",23,0.000166212593133252,0.038
"signed",26,0.000187892496585415,0.032
"simpson",6,4.33598069043266e-05,0.012
"sites",107,0.000773249889793824,0.098
"space",10,7.22663448405443e-05,0.02
"specials",10,7.22663448405443e-05,0.02
"terms",31,0.000224025669005687,0.046
"theyre",12,8.67196138086532e-05,0.024
"thousands",85,0.000614263931144627,0.088
"true",59,0.000426371434559211,0.082
"two",76,0.000549224220788137,0.084
"unbelievable",8,5.78130758724354e-05,0.016
"user",13,9.39462482927076e-05,0.02
"vonolmosatkirekpups",1,7.22663448405443e-06,0.002
"web",115,0.00083106296566626,0.122
"websites",18,0.00013007942071298,0.032
"wont",12,8.67196138086532e-05,0.022
"xxx",11,7.94929793245987e-05,0.018
"years",119,0.000859969503602477,0.116
"yes",61,0.00044082470352732,0.066
"yet",27,0.00019511913106947,0.036
"zzzzspamassassintaintorg",15,0.000108399517260816,0.02
"dailydeals",1,7.22663448405443e-06,0.002
"events",25,0.000180665862101361,0.036
"httpwwwfreeyankeecomcgifytocgilnic",1,7.22663448405443e-06,0.002
"httpwwwfreeyankeecomcgifytocgilppl",1,7.22663448405443e-06,0.002
"httpwwwfreeyankeecomcgifytocgilslim",1,7.22663448405443e-06,0.002
"httpwwwlinuxiemailmanlistinfosocial",15,0.000108399517260816,0.03
"httpwwwqvescomtrimsociallinuxiecc",1,7.22663448405443e-06,0.002
"like",173,0.00125020776574142,0.216
"might",23,0.000166212593133252,0.04
"social",19,0.000137306055197034,0.034
"sociallinuxie",15,0.000108399517260816,0.03
"thought",14,0.000101172882776762,0.022
"address",257,0.00185724506240199,0.214
"announcing",2,1.44532689681089e-05,0.004
"average",29,0.000209572400037578,0.022
"back",83,0.000599810662176518,0.078
"bill",31,0.000224025669005687,0.05
"blast",2,1.44532689681089e-05,0.004
"call",115,0.00083106296566626,0.14
"calling",8,5.78130758724354e-05,0.01
"calltime",1,7.22663448405443e-06,0.002
"cash",138,0.000997275558799511,0.094
"close",14,0.000101172882776762,0.024
"communications",9,6.50397103564899e-05,0.014
"compiled",7,5.0586441388381e-05,0.01
"compliance",18,0.00013007942071298,0.036
"conceived",4,2.89065379362177e-05,0.006
"continued",8,5.78130758724354e-05,0.01
"cost",57,0.000411918165591103,0.074
"days",2,1.44532689681089e-05,0.004
"day",2,1.44532689681089e-05,0.004
"decision",10,7.22663448405443e-05,0.02
"deleted",12,8.67196138086532e-05,0.022
"didnt",23,0.000166212593133252,0.03
"either",28,0.000202345765553524,0.044
"entry",2,1.44532689681089e-05,0.004
"errors",4,2.89065379362177e-05,0.006
"ever",64,0.000462504606979484,0.078
"exceptions",4,2.89065379362177e-05,0.008
"excluded",11,7.94929793245987e-05,0.022
"experts",12,8.67196138086532e-05,0.024
"fax",84,0.000607037296660572,0.096
"faxemail",1,7.22663448405443e-06,0.002
"first",128,0.000925009213958967,0.104
"flow",6,4.33598069043266e-05,0.008
"found",28,0.000202345765553524,0.044
"founders",2,1.44532689681089e-05,0.004
"gave",10,7.22663448405443e-05,0.02
"gifting",2,1.44532689681089e-05,0.004
"gigt",2,1.44532689681089e-05,0.004
"got",47,0.000339651820750558,0.074
"grab",5,3.61331724202722e-05,0.01
"gracious",2,1.44532689681089e-05,0.004
"hear",13,9.39462482927076e-05,0.022
"hold",5,3.61331724202722e-05,0.006
"hope",21,0.000151759324165143,0.036
"huge",37,0.000267385475910014,0.056
"immediately",47,0.000339651820750558,0.068
"inclusion",4,2.89065379362177e-05,0.006
"invitation",4,2.89065379362177e-05,0.006
"ive",24,0.000173439227617306,0.026
"leads",9,6.50397103564899e-05,0.01
"leverage",4,2.89065379362177e-05,0.008
"lifeline",2,1.44532689681089e-05,0.004
"line",76,0.000549224220788137,0.126
"made",158,0.0011418082484806,0.128
"mail",134,0.000968369020863294,0.16
"major",32,0.000231252303489742,0.048
"make",311,0.00224748332454093,0.172
"marketing",137,0.000990048924315457,0.118
"message",242,0.00174884554514117,0.284
"miss",16,0.000115626151744871,0.026
"mother",14,0.000101172882776762,0.02
"namephone",3,2.16799034521633e-05,0.004
"next",107,0.000773249889793824,0.098
"omissions",2,1.44532689681089e-05,0.004
"onto",2,1.44532689681089e-05,0.004
"paragraph",10,7.22663448405443e-05,0.016
"partner",32,0.000231252303489742,0.038
"people",349,0.002522095434935,0.148
"per",116,0.000838289600150314,0.102
"permission",7,5.0586441388381e-05,0.014
"pick",6,4.33598069043266e-05,0.01
"players",6,4.33598069043266e-05,0.008
"pledge",4,2.89065379362177e-05,0.006
"powerhouse",2,1.44532689681089e-05,0.004
"program",162,0.00117071478641682,0.098
"purpose",17,0.000122852786228925,0.022
"question",21,0.000151759324165143,0.03
"relative",5,3.61331724202722e-05,0.01
"replicate",2,1.44532689681089e-05,0.004
"reply",121,0.000874422772570586,0.194
"ride",4,2.89065379362177e-05,0.008
"right",105,0.000758796620825715,0.114
"sake",4,2.89065379362177e-05,0.008
"sales",52,0.00037578499317083,0.066
"seattle",5,3.61331724202722e-05,0.006
"section",18,0.00013007942071298,0.032
"send",274,0.00198009784863091,0.2
"sender",5,3.61331724202722e-05,0.008
"sending",84,0.000607037296660572,0.078
"sent",159,0.00114903488296465,0.178
"single",8,5.78130758724354e-05,0.016
"sole",8,5.78130758724354e-05,0.016
"spam",37,0.000267385475910014,0.058
"stopped",4,2.89065379362177e-05,0.008
"subject",92,0.000664850372533008,0.134
"sure",68,0.000491411144915701,0.074
"team",14,0.000101172882776762,0.026
"tesrewinteryahoocom",2,1.44532689681089e-05,0.004
"testimonials",14,0.000101172882776762,0.018
"think",44,0.000317971917298395,0.06
"tight",4,2.89065379362177e-05,0.008
"time",301,0.00217521697970038,0.292
"too",2,1.44532689681089e-05,0.004
"tossing",2,1.44532689681089e-05,0.004
"training",32,0.000231252303489742,0.032
"transmissions",4,2.89065379362177e-05,0.008
"turbo",2,1.44532689681089e-05,0.004
"upon",43,0.000310745282814341,0.04
"wait",25,0.000180665862101361,0.04
"want",230,0.00166212593133252,0.23
"way",103,0.000744343351857606,0.112
"wealthy",13,9.39462482927076e-05,0.014
"word",30,0.000216799034521633,0.052
"work",139,0.00100450219328357,0.126
"you",2,1.44532689681089e-05,0.004
"zone",2,1.44532689681089e-05,0.004
"i",6,4.33598069043266e-05,0.004
"im",2,1.44532689681089e-05,0.004
"weve",2,1.44532689681089e-05,0.004
"career",21,0.000151759324165143,0.034
"company",206,0.00148868670371521,0.226
"contact",140,0.00101172882776762,0.178
"employed",11,7.94929793245987e-05,0.022
"employement",6,4.33598069043266e-05,0.012
"energetic",10,7.22663448405443e-05,0.02
"excellent",21,0.000151759324165143,0.042
"experience",29,0.000209572400037578,0.054
"form",283,0.0020451375589874,0.236
"fortune",30,0.000216799034521633,0.048
"home",167,0.00120684795883709,0.136
"httpwwwbasetelcomremovehtml",6,4.33598069043266e-05,0.012
"httpwwwbasetelcomwealthnow",6,4.33598069043266e-05,0.012
"income",105,0.000758796620825715,0.084
"individuals",31,0.000224025669005687,0.048
"looking",90,0.000650397103564899,0.068
"motivated",20,0.000144532689681089,0.028
"old",52,0.00037578499317083,0.084
"opportunities",33,0.000238478937973796,0.05
"opportunity",73,0.000527544317335973,0.1
"rate",64,0.000462504606979484,0.078
"self",20,0.000144532689681089,0.038
"specialist",11,7.94929793245987e-05,0.022
"train",11,7.94929793245987e-05,0.022
"tremendous",12,8.67196138086532e-05,0.022
"vast",13,9.39462482927076e-05,0.022
"volwdodyfrhmsmfcfcsll",1,7.22663448405443e-06,0.002
"wanted",18,0.00013007942071298,0.034
"year",135,0.000975595655347348,0.106
"actionhttpwwwreliaquotecomtermlifecgibinbannerquoterespasp",1,7.22663448405443e-06,0.002
"aligncenter",184,0.00132970074506602,0.116
"aligncenterfont",105,0.000758796620825715,0.084
"alignleft",98,0.000708210179437334,0.044
"alignright",30,0.000216799034521633,0.024
"alinkffcc",1,7.22663448405443e-06,0.002
"also",196,0.00141642035887467,0.196
"altt",16,0.000115626151744871,0.03
"amountoption",1,7.22663448405443e-06,0.002
"amountstrongfonttd",1,7.22663448405443e-06,0.002
"arial",407,0.00294124023501015,0.112
"arialb",2,1.44532689681089e-05,0.002
"arialbfont",1,7.22663448405443e-06,0.002
"asjmnetnoteinccom",15,0.000108399517260816,0.03
"bfont",161,0.00116348815193276,0.128
"bfontdiv",1,7.22663448405443e-06,0.002
"bgcolor",39,0.000281838744878123,0.048
"bgcolorcc",15,0.000108399517260816,0.012
"bgcolorffcc",13,9.39462482927076e-05,0.014
"bgcolorffccff",2,1.44532689681089e-05,0.004
"birth",4,2.89065379362177e-05,0.008
"border",399,0.00288342715913772,0.162
"borderabr",7,5.0586441388381e-05,0.014
"borderatd",77,0.000556450855272191,0.042
"brfont",22,0.000158985958649197,0.044
"carolinanorth",1,7.22663448405443e-06,0.002
"carolinaoption",2,1.44532689681089e-05,0.002
"carolinasouth",1,7.22663448405443e-06,0.002
"cellpadding",214,0.00154649977958765,0.144
"cellspacing",212,0.00153204651061954,0.138
"change",70,0.00050586441388381,0.072
"charsetiso",106,0.00076602325530977,0.196
"classcontent",10,7.22663448405443e-05,0.002
"classhptbcolor",1,7.22663448405443e-06,0.002
"color",327,0.0023631094762858,0.162
"colorclick",22,0.000158985958649197,0.044
"colorff",52,0.00037578499317083,0.034
"colorffcc",3,2.16799034521633e-05,0.002
"colorffccbr",1,7.22663448405443e-06,0.002
"colorffffff",54,0.000390238262138939,0.026
"colorffffffbon",1,7.22663448405443e-06,0.002
"colorffffffbreliaquote",1,7.22663448405443e-06,0.002
"colorffffffbsave",1,7.22663448405443e-06,0.002
"colorffffffcompare",1,7.22663448405443e-06,0.002
"colorfffffffontfontfont",1,7.22663448405443e-06,0.002
"colorffffffstrongcoverage",1,7.22663448405443e-06,0.002
"colorffffffstrongdate",1,7.22663448405443e-06,0.002
"colorffffffstronghave",1,7.22663448405443e-06,0.002
"colorffffffstronghow",1,7.22663448405443e-06,0.002
"colorffffffstrongsexstrongfonttd",1,7.22663448405443e-06,0.002
"colorffffffstrongstate",1,7.22663448405443e-06,0.002
"columbiaoption",1,7.22663448405443e-06,0.002
"contenttexthtml",41,0.000296292013846232,0.08
"correspondence",23,0.000166212593133252,0.042
"coveragebfontp",1,7.22663448405443e-06,0.002
"coveragestrongfonttd",1,7.22663448405443e-06,0.002
"dakotanorth",1,7.22663448405443e-06,0.002
"dakotaoption",2,1.44532689681089e-05,0.002
"dakotasouth",1,7.22663448405443e-06,0.002
"directed",22,0.000158985958649197,0.04
"div",323,0.00233420293834958,0.134
"easy",77,0.000556450855272191,0.1
"emjmnetnoteinccomem",15,0.000108399517260816,0.03
"facearial",258,0.00186447169688604,0.11
"facetahoma",47,0.000339651820750558,0.012
"femalebfonttd",1,7.22663448405443e-06,0.002
"fontbfonttd",3,2.16799034521633e-05,0.006
"fontfont",171,0.00123575449677331,0.092
"fonttd",41,0.000296292013846232,0.046
"future",108,0.000780476524277879,0.162
"futurebr",6,4.33598069043266e-05,0.012
"hampshirenew",1,7.22663448405443e-06,0.002
"hampshireoption",1,7.22663448405443e-06,0.002
"head",281,0.0020306842900193,0.3
"height",682,0.00492856471812512,0.13
"heighta",10,7.22663448405443e-05,0.01
"heightbfonttd",1,7.22663448405443e-06,0.002
"heightfont",30,0.000216799034521633,0.016
"heightimg",33,0.000238478937973796,0.032
"heightnbsp",2,1.44532689681089e-05,0.004
"heighttd",49,0.000354105089718667,0.026
"highly",9,6.50397103564899e-05,0.016
"hrefhttpadmanmailcomsubscriptionaspemjmnetnoteinccomlsgo",14,0.000101172882776762,0.028
"hrefhttptheadmanagercomservercaspadkeyyuesbhwakmlkext",4,2.89065379362177e-05,0.002
"hspace",27,0.00019511913106947,0.038
"httpadmanmailcomsubscriptionaspemjmnetnoteinccomlsgo",14,0.000101172882776762,0.028
"httpequivcontenttype",45,0.000325198551782449,0.08
"idformsbutton",1,7.22663448405443e-06,0.002
"idformscombobox",3,2.16799034521633e-05,0.002
"idformsradiobutton",4,2.89065379362177e-05,0.002
"img",258,0.00186447169688604,0.148
"incbr",1,7.22663448405443e-06,0.002
"include",58,0.000419144800075157,0.102
"input",280,0.00202345765553524,0.098
"instantly",13,9.39462482927076e-05,0.026
"insurancebfonttd",1,7.22663448405443e-06,0.002
"insurancetitle",1,7.22663448405443e-06,0.002
"islandoption",5,3.61331724202722e-05,0.004
"islandrhode",1,7.22663448405443e-06,0.002
"jerseynew",1,7.22663448405443e-06,0.002
"jerseyoption",1,7.22663448405443e-06,0.002
"leftmargin",12,8.67196138086532e-05,0.024
"linkffcc",1,7.22663448405443e-06,0.002
"mailing",148,0.00106954190364006,0.19
"makes",18,0.00013007942071298,0.032
"malebfonttd",1,7.22663448405443e-06,0.002
"methodget",1,7.22663448405443e-06,0.002
"mexiconew",1,7.22663448405443e-06,0.002
"mexicooption",1,7.22663448405443e-06,0.002
"mmddyystrongfonttd",1,7.22663448405443e-06,0.002
"monthsstrongfonttd",1,7.22663448405443e-06,0.002
"must",91,0.000657623738048953,0.138
"namecoverageamount",1,7.22663448405443e-06,0.002
"namedd",1,7.22663448405443e-06,0.002
"namefreequoteform",1,7.22663448405443e-06,0.002
"namemm",1,7.22663448405443e-06,0.002
"nameplan",1,7.22663448405443e-06,0.002
"namesex",2,1.44532689681089e-05,0.002
"namesourceid",1,7.22663448405443e-06,0.002
"namestate",5,3.61331724202722e-05,0.01
"namesubmitbutton",1,7.22663448405443e-06,0.002
"nametobacco",2,1.44532689681089e-05,0.002
"nameyy",1,7.22663448405443e-06,0.002
"need",169,0.0012213012278052,0.186
"nofontbtd",1,7.22663448405443e-06,0.002
"nothing",45,0.000325198551782449,0.064
"nowrap",5,3.61331724202722e-05,0.004
"option",546,0.00394574242829372,0.022
"products",68,0.000491411144915701,0.09
"productsservices",15,0.000108399517260816,0.03
"protect",43,0.000310745282814341,0.06
"protecting",2,1.44532689681089e-05,0.004
"quotes",15,0.000108399517260816,0.022
"rated",14,0.000101172882776762,0.022
"receiving",72,0.000520317682851919,0.12
"reliaquote",1,7.22663448405443e-06,0.002
"reservedfontdiv",1,7.22663448405443e-06,0.002
"residencestrongfonttd",1,7.22663448405443e-06,0.002
"rights",50,0.000361331724202722,0.044
"select",26,0.000187892496585415,0.024
"selectedddoption",1,7.22663448405443e-06,0.002
"selectedmmoption",1,7.22663448405443e-06,0.002
"selectedselect",3,2.16799034521633e-05,0.002
"selectedyyoption",1,7.22663448405443e-06,0.002
"sendgreatofferscom",14,0.000101172882776762,0.028
"size",542,0.0039168358903575,0.196
"sizea",42,0.000303518648330286,0.028
